winner;from;to
00002000;0;89
00002000;458;548
00002000;916;1007
00002000;1374;1466
00002000;1832;1925
00002000;2290;2384
00002000;2748;2843
00002000;3206;3302
00002000;3664;3761
00002000;4122;4220
00002000;4580;4679
00002000;5038;5138
00002000;5496;5597
00002000;5954;6056
00002000;6412;6515
00002000;6870;6974
00002000;7328;7433
00002000;7786;7892
00002000;8244;8351
00002000;8702;8810
00002000;9160;9269
00002000;9618;9728
00002000;10076;10187
00002000;10534;10646
00002000;10992;11105
00002000;11450;11564
00002000;11908;12023
00002000;12366;12482
00002000;12824;12941
00002000;13282;13400
00002000;13740;13858
00002000;14198;14316
00002000;14656;14774
00002000;15114;15232
00002000;15572;15690
00002000;16030;16148
00002000;16488;16606
00002000;16946;17064
00002000;17404;17522
00002000;17862;17980
00002000;18320;18438
00002000;18778;18896
00002000;19236;19353
00002000;19694;19810
00002000;20152;20267
00002000;20610;20724
00002000;21068;21181
00002000;21526;21639
00002000;21984;22097
00002000;22442;22555
00002000;22900;23013
00002000;23358;23471
00002000;23816;23929
00002000;24274;24386
00002000;24732;24843
00002000;25190;25300
00002000;25648;25757
00002000;26106;26214
00002000;26564;26671
00002000;27022;27128
00002000;27480;27585
00002000;27938;28042
00002000;28396;28499
00002000;28854;28956
00002000;29312;29413
00002000;29770;29870
00002000;30228;30327
00002000;30686;30784
00002000;31144;31241
00002000;31602;31698
00002000;32060;32155
00002000;32518;32612
00002000;32976;33069
00002000;33434;33526
00002000;33892;33983
00002000;34350;34440
00002000;34808;34897
00002000;35266;35354
00002000;35724;35811
00002000;36182;36268
00002000;36640;36725
00002000;37098;37182
00002000;37556;37639
00002000;38014;38096
00002000;38472;38553
00002000;38930;39010
00002000;39388;39467
00002000;39846;39924
00002000;40304;40382
00002000;40762;40840
00002000;41220;41298
00002000;41678;41756
00002000;42136;42214
00002000;42594;42672
00002000;43052;43130
00002000;43510;43588
00002000;43968;44046
00002000;44426;44504
00002000;44884;44962
00002000;45342;45420
00002000;45800;45878
00002000;46258;46336
00002000;46716;46794
00002000;47174;47252
00002000;47632;47710
00002000;48090;48168
00002000;48548;48626
00002000;49006;49084
00002000;49464;49542
00002000;49922;50000
00002000;50380;50458
00002000;50838;50916
00002000;51296;51374
00002000;51754;51832
00002000;52212;52290
00002000;52670;52748
00002000;53128;53206
00002000;53586;53664
00002000;54044;54122
00002000;54502;54580
00002000;54960;55038
00002000;55418;55496
00002000;55876;55965
00002000;56334;56424
00002000;56792;56883
00002000;57250;57342
00002000;57708;57801
00002000;58166;58260
00002000;58624;58719
00002000;59082;59178
00002000;59540;59637
00002000;59998;60096
00002000;60456;60555
00002000;60914;61014
00002000;61372;61473
00002000;61830;61932
00002000;62288;62391
00002000;62746;62850
00002000;63204;63309
00002000;63662;63768
00002000;64120;64227
00002000;64578;64686
00002000;65036;65145
00002000;65494;65604
00002000;65952;66063
00002000;66410;66522
00002000;66868;66981
00002000;67326;67440
00002000;67784;67899
00002000;68242;68358
00002000;68700;68817
00002000;69158;69276
00002000;69616;69734
00002000;70074;70192
00002000;70532;70650
00002000;70990;71108
00002000;71448;71566
00002000;71906;72024
00002000;72364;72482
00002000;72822;72940
00002000;73280;73398
00002000;73738;73856
00002000;74196;74314
00002000;74654;74772
00002000;75112;75229
00002000;75570;75686
00002000;76028;76143
00002000;76486;76600
00002000;76944;77057
00002000;77402;77515
00002000;77860;77973
00002000;78318;78431
00002000;78776;78889
00002000;79234;79347
00002000;79692;79805
00002000;80150;80262
00002000;80608;80719
00002000;81066;81176
00002000;81524;81633
00002000;81982;82090
00002000;82440;82547
00002000;82898;83004
00002000;83356;83461
00002000;83814;83918
00002000;84272;84375
00002000;84730;84832
00002000;85188;85289
00002000;85646;85746
00002000;86104;86203
00002000;86562;86660
00002000;87020;87117
00002000;87478;87574
00002000;87936;88031
00002000;88394;88488
00002000;88852;88945
00002000;89310;89402
00002000;89768;89859
00002000;90226;90316
00002000;90684;90773
00002000;91142;91230
00002000;91600;91687
00002000;92058;92144
00002000;92516;92601
00002000;92974;93058
00002000;93432;93515
00002000;93890;93972
00002000;94348;94429
00002000;94806;94886
00002000;95264;95343
00002000;95722;95800
00002000;96180;96258
00002000;96638;96716
00002000;97096;97174
00002000;97554;97632
00002000;98012;98090
00002000;98470;98548
00002000;98928;99006
00002000;99386;99464
00002000;99844;99922
00002000;100302;100380
00002000;100760;100838
00002000;101218;101296
00002000;101676;101754
00002000;102134;102212
00002000;102592;102670
00002000;103050;103128
00002000;103508;103586
00002000;103966;104044
00002000;104424;104502
00002000;104882;104960
00002000;105340;105418
00002000;105798;105876
00002000;106256;106334
00002000;106714;106792
00002000;107172;107250
00002000;107630;107708
00002000;108088;108166
00002000;108546;108624
00002000;109004;109082
00002000;109462;109540
00002000;109920;109998
00002000;110378;110456
00002000;110836;110914
00002000;111294;111372
00002000;111752;111841
00002000;112210;112300
00002000;112668;112759
00002000;113126;113218
00002000;113584;113677
00002000;114042;114136
00002000;114500;114595
00002000;114958;115054
00002000;115416;115513
00002000;115874;115972
00002000;116332;116431
00002000;116790;116890
00002000;117248;117349
00002000;117706;117808
00002000;118164;118267
00002000;118622;118726
00002000;119080;119185
00002000;119538;119644
00002000;119996;120103
00002000;120454;120562
00002000;120912;121021
00002000;121370;121480
00002000;121828;121939
00002000;122286;122398
00002000;122744;122857
00002000;123202;123316
00002000;123660;123775
00002000;124118;124234
00002000;124576;124693
00002000;125034;125152
00002000;125492;125610
00002000;125950;126068
00002000;126408;126526
00002000;126866;126984
00002000;127324;127442
00002000;127782;127900
00002000;128240;128358
00002000;128698;128816
00002000;129156;129274
00002000;129614;129732
00002000;130072;130190
00002000;130530;130648
00002000;130988;131106
00002000;131446;131563
00002000;131904;132020
00002000;132362;132477
00002000;132820;132934
00002000;133278;133392
00002000;133736;133850
00002000;134194;134308
00002000;134652;134766
00002000;135110;135224
00002000;135568;135681
00002000;136026;136138
00002000;136484;136595
00002000;136942;137052
00002000;137400;137509
00002000;137858;137966
00002000;138316;138423
00002000;138774;138880
00002000;139232;139337
00002000;139690;139794
00002000;140148;140251
00002000;140606;140708
00002000;141064;141165
00002000;141522;141622
00002000;141980;142079
